address,lat,lon,llm_lat,llm_lon,error_meters,is_exact_match,llm_coord,predicted_address_reverse,error_scaled
2421 54th Place Southwest,47.5820336,-122.4017859,47.56,-122.36,3985.759220224883,False,"47.56,-122.36","4746, 21st Avenue Southwest, Youngstown, Delridge, Seattle, King County, Washington, 98106, United States",0.26055687866156707
213 North 39th Street,47.6538755,-122.3559833,47.65,-122.35,622.6707803866457,False,"47.65,-122.35","3411, Fremont Avenue North, Fremont, Seattle, King County, Washington, 98103, United States",0.0407052072157416
1550 North 115th Street,47.7138998,-122.3368309,47.7,-122.3,3166.758685518317,False,"47.7,-122.3","2535, Northeast 98th Street, Alicia Park, Maple Leaf, Seattle, King County, Washington, 98115, United States",0.2070172112721112
1915 7th Avenue,47.6144066,-122.3368853,47.61,-122.34,543.0247338315625,False,"47.61,-122.34","Gearbox Photography, 119, Pine Street, Central Business District, Belltown, Seattle, King County, Washington, 98101, United States",0.035498589318999844
530 North 104th Street,47.704504,-122.3514559,47.69,-122.33,2279.089427306074,False,"47.69,-122.33","Corliss Way North, Licton Springs, Green Lake, Seattle, King County, Washington, 98103, United States",0.14898853507160528
755 North 95th Street,47.6976892,-122.3477292,47.69,-122.35,871.7468647798914,False,"47.69,-122.35","558, North 84th Street, Greenwood, Seattle, King County, Washington, 98103, United States",0.05698779818848167
2342 Minor Avenue East,47.6409862,-122.3279911,47.628,-122.322,1512.418081533652,False,"47.628,-122.322","942, Harvard Avenue East, Capitol Hill, Seattle, King County, Washington, 98102, United States",0.09886972914873912
1313 East Pine Street,47.6151047,-122.3146116,47.61,-122.32,697.3053756872857,False,"47.61,-122.32","Seattle University, Minor Avenue, First Hill, Seattle, King County, Washington, 98104, United States",0.0455842167387019
6528 Shaffer Avenue South,47.543497,-122.2945334,47.68,-122.32,15297.079243115735,False,"47.68,-122.32","7018, 8th Avenue Northeast, Roosevelt, Green Lake, Seattle, King County, Washington, 98115, United States",1.0
4224 East Madison Street,47.6362362,-122.2776199,47.63,-122.3,1819.2406544649077,False,"47.63,-122.3","1126, 25th Avenue East, Washington Park, Capitol Hill, Seattle, King County, Washington, 98112, United States",0.11892732106252472
