address,lat,lon,llm_lat,llm_lon,error_meters,is_exact_match,llm_coord,predicted_address_reverse
2430 55th Avenue Southwest,47.5815071,-122.4024185,47.57,-122.39,1584.2195125076744,FALSE,"47.57,-122.39","3805, 45th Avenue Southwest, West Seattle, Seattle, King County, Washington, 98116, United States"
213 North 39th Street,47.6538755,-122.3559833,47.65,-122.35,622.6707803866457,FALSE,"47.65,-122.35","3411, Fremont Avenue North, Fremont, Seattle, King County, Washington, 98103, United States"
851 Rainier Avenue South,47.5943506,-122.3109253,47.6,-122.32,927.5106775135458,FALSE,"47.6,-122.32","Yesler Hillclimb, Yesler Terrace, Seattle, King County, Washington, 98104, United States"
1915 7th Avenue,47.6144066,-122.3368853,47.61,-122.34,543.0247338315625,FALSE,"47.61,-122.34","Gearbox Photography, 119, Pine Street, Central Business District, Belltown, Seattle, King County, Washington, 98101, United States"
530 North 104th Street,47.704504,-122.3514559,47.69,-122.33,2279.089427306074,FALSE,"47.69,-122.33","Corliss Way North, Licton Springs, Green Lake, Seattle, King County, Washington, 98103, United States"
755 North 95th Street,47.6976892,-122.3477292,47.69,-122.35,871.7468647798914,FALSE,"47.69,-122.35","558, North 84th Street, Greenwood, Seattle, King County, Washington, 98103, United States"
2342 Minor Avenue East,47.6409862,-122.3279911,47.629,-122.322,1406.6639379790868,FALSE,"47.629,-122.322","1108, Harvard Avenue East, Capitol Hill, Seattle, King County, Washington, 98102, United States"
1313 East Pine Street,47.6151047,-122.3146116,47.61,-122.32,697.3053756872857,FALSE,"47.61,-122.32","Seattle University, East Jefferson Street, Yesler Terrace, Seattle, King County, Washington, 98104, United States"
6528 Shaffer Avenue South,47.543497,-122.2945334,47.68,-122.32,15297.079243115735,FALSE,"47.68,-122.32","7018, 8th Avenue Northeast, Roosevelt, Green Lake, Seattle, King County, Washington, 98115, United States"
4224 East Madison Street,47.6362362,-122.2776199,47.63,-122.3,1819.2406544649077,FALSE,"47.63,-122.3","1126, 25th Avenue East, Washington Park, Capitol Hill, Seattle, King County, Washington, 98112, United States"
701 1st Avenue,47.6028571,-122.3351422,47.6,-122.34,484.09779338411073,FALSE,"47.6,-122.34","Pier 48, Waterfront Trail, West Edge, First Hill, Seattle, King County, Washington, 98174, United States"
1420 1st Avenue,47.6084208,-122.3393891,47.607,-122.34,164.51096899905897,FALSE,"47.607,-122.34","Public Storage, 1334, Alaskan Way, West Edge, Belltown, Seattle, King County, Washington, 98101, United States"
1309 North 45th Street,47.6612244,-122.341714,47.66,-122.34,187.3697891937535,FALSE,"47.66,-122.34","Lincoln High School, 4400, Interlake Avenue North, Wallingford, Seattle, King County, Washington, 98103, United States"
1915 15th Avenue South,47.5858331,-122.3138145,47.606,-122.325,2394.8142858548395,FALSE,"47.606,-122.325","9th Avenue, Central Business District, First Hill, Seattle, King County, Washington, 98138, United States"
6744 Palatine Avenue North,47.6792213,-122.3560666,47.68,-122.36,307.7728385047175,FALSE,"47.68,-122.36","7014, 3rd Avenue Northwest, Greenwood, Seattle, King County, Washington, 98117, United States"
4611 South Henderson Street,47.5230624,-122.2738568,47.53,-122.28,899.4247393758922,FALSE,"47.53,-122.28","4215, South Elmgrove Street, Seattle, King County, Washington, 98118, United States"
13810 Greenwood Avenue North,47.7300749,-122.3552443,47.73,-122.35,393.4832696151912,FALSE,"47.73,-122.35","624, North 138th Street, Bitter Lake, Broadview, Seattle, King County, Washington, 98133, United States"
3104 Western Avenue,47.6180304,-122.356095,47.62,-122.36,366.2335911202459,FALSE,"47.62,-122.36","Elliott Avenue West, Uptown, Belltown, Seattle, King County, Washington, 98121, United States"
3242 Eastlake Avenue East,47.6513257,-122.3212803,47.637,-122.325,1617.1151130678431,FALSE,"47.637,-122.325","2009, Franklin Avenue East, Eastlake, Seattle, King County, Washington, 98102, United States"
8612 39th Avenue South,47.5256628,-122.2832597,47.53,-122.28,541.0965341816558,FALSE,"47.53,-122.28","4215, South Elmgrove Street, Seattle, King County, Washington, 98118, United States"
2046 14th Avenue West,47.6380148,-122.374746,47.61,-122.36,3306.1056737913495,FALSE,"47.61,-122.36","Pier 70 Viewpoint, Elliott Bay Trail, Uptown, Belltown, Seattle, King County, Washington, 98119, United States"
400 2nd Avenue Extension South,47.6010864,-122.3311659,47.6,-122.33,149.25434420002512,FALSE,"47.6,-122.33","South Main Street Cycletrack, West Edge, First Hill, Seattle, King County, Washington, 98104, United States"
1563 6th Avenue South,47.5888992,-122.3263505,47.6,-122.33,1264.3651743078387,FALSE,"47.6,-122.33","South Main Street Cycletrack, West Edge, First Hill, Seattle, King County, Washington, 98104, United States"
2322 Halleck Avenue Southwest,47.583543,-122.3993891,47.52,-122.35,7983.189006,FALSE,"47.52,-122.35","9230, 12th Avenue Southwest, Seattle, King County, Washington, 98106, United States"
6321 Corgiat Drive South,47.5465619,-122.3100571,47.52,-122.27,4221.182616324548,FALSE,"47.52,-122.27","5027, South Barton Place, Rainier Beach, Seattle, King County, Washington, 98118, United States"
1334 South Weller Street,47.5976446,-122.3139378,47.59,-122.32,964.5112614526091,FALSE,"47.59,-122.32","Mountains-to-Sound Trail, Yesler Terrace, Seattle, King County, Washington, 98104, United States"
304 North 39th Street,47.6544315,-122.3552417,47.65,-122.34,1246.5478233166577,FALSE,"47.65,-122.34","3526, Ashworth Avenue North, Fremont, Seattle, King County, Washington, 98103, United States"
2000 9th Avenue,47.6166177,-122.3357238,47.61,-122.34,802.9445689381425,FALSE,"47.61,-122.34","Gearbox Photography, 119, Pine Street, Central Business District, Belltown, Seattle, King County, Washington, 98101, United States"
5403 Meridian Avenue North,47.6680542,-122.3338515,47.67,-122.35,1231.9202182969473,FALSE,"47.67,-122.35","Woodland Park Zoo, 601, North 59th Street, Phinney Ridge, Seattle, King County, Washington, 98103, United States"
7751 24th Avenue Northwest,47.6864613,-122.3878058,47.68,-122.38,927.1275074999725,FALSE,"47.68,-122.38","7017, 18th Avenue Northwest, Whittier Heights, Ballard, Seattle, King County, Washington, 98117, United States"
830 South Kenyon Street,47.5320978,-122.3214549,47.52,-122.33,1491.0541629802021,FALSE,"47.52,-122.33","SP+ Transportation, 9301, 4th Avenue South, South Park, Seattle, King County, Washington, 98108, United States"
6028 41st Avenue Southwest,47.5476381,-122.3838892,47.55,-122.39,529.6626226120421,FALSE,"47.55,-122.39","5907, 45th Avenue Southwest, Morgan Junction, Seattle, King County, Washington, 98136, United States"
